keys,zh_CN,en
contract.summary.success,"已完成：{goal} {value} | 奖励 +{reward}","Completed: {goal} {value} | Reward +{reward}"
contract.summary.failed,"已失败：{goal} {value} | 惩罚 -{penalty}","Failed: {goal} {value} | Penalty -{penalty}"
contract.goal.reach_score,"达到分数","Reach Score"
contract.goal.hold_tokens,"保留 Token","Hold Tokens"
contract.goal.remove_tokens,"移除 Token","Remove Tokens"
contract.goal.hold_chain,"保持连锁","Hold Chain"
contract.goal.link_chain,"连线成链","Link Chain"
contract.goal.maintain_links,"保持连接","Maintain Links"
state.boot,"初始化","Boot"
state.player_turn,"玩家操作","Player Turn"
state.settling,"结算中","Settling"
state.offer_choice,"奖励选择","Reward Choice"
state.event_draft,"事件草案","Event Draft"
state.roll_board,"转盘结算","Roll Board"
state.settlement_result,"结算结果","Settlement Result"
state.run_failed,"失败","Run Failed"
state.run_cleared,"通关","Run Cleared"
mode.auto,"自动","Auto"
mode.set,"手动","Set"
mode.place,"放置","Place"
mode.remove,"移除","Remove"
settlement.phase.base_output,"基础产出","Base Output"
settlement.phase.item_bonus,"道具加成","Item Bonus"
settlement.phase.adjacency,"邻接触发","Adjacency"
settlement.phase.row_column,"行列联动","Row/Column"
settlement.phase.conditional,"条件触发","Conditional"
settlement.phase.copy_amplify,"复制放大","Copy/Amplify"
settlement.phase.cleanup,"清理","Cleanup"
label.rarity.common,"普通","Common"
label.rarity.uncommon,"优秀","Uncommon"
label.rarity.rare,"稀有","Rare"
label.rarity.legendary,"传说","Legendary"
label.token_type.fire,"火","Fire"
label.token_type.water,"水","Water"
label.token_type.earth,"土","Earth"
label.token_type.wind,"风","Wind"
label.token_type.empty," "," "
label.token_type.virtue,"德行","Virtue"
label.token_type.bond,"缘分","Bond"
label.token_type.fortune,"气运","Fortune"
label.token_type.mundane,"凡庸","Mundane"
label.tag.fire,"火","Fire"
label.tag.water,"水","Water"
label.tag.earth,"土","Earth"
label.tag.wind,"风","Wind"
label.tag.link,"连接","Link"
label.tag.grow,"生长","Grow"
label.tag.guard,"守备","Guard"
label.tag.wild,"狂野","Wild"
label.tag.break,"破坏","Break"
label.tag.spatial,"空间","Spatial"
label.tag.reward,"奖励","Reward"
label.tag.expansion,"扩展","Expansion"
label.tag.twin,"双格","Twin"
label.tag.virtue,"德行","Virtue"
label.tag.bond,"缘分","Bond"
label.tag.fortune,"气运","Fortune"
label.tag.zodiac,"生肖","Zodiac"
label.tag.mundane,"凡庸","Mundane"
content.item.earth_boost.name,"大地强化","Earth Boost"
content.item.earth_boost.description,"所有土元素 Token 计分 +1。","All Earth tokens score +1."
content.item.fire_boost.name,"火焰强化","Fire Boost"
content.item.fire_boost.description,"所有火焰 Token 计分 +1。","All Fire tokens score +1."
content.item.random_delete_two.name,"精简协议","Prune Protocol"
content.item.random_delete_two.description,"拾起时随机从背包中删除两个 Token。","When picked up, randomly delete two tokens from the backpack."
content.item.random_upgrade.name,"进化冲击","Evolution Surge"
content.item.random_upgrade.description,"拾起时随机将背包中一个 Token 升级到更高稀有度。","When picked up, randomly upgrade one backpack token to a higher rarity."
content.item.water_boost.name,"水流强化","Water Boost"
content.item.water_boost.description,"所有水元素 Token 计分 +1。","All Water tokens score +1."
content.item.wind_boost.name,"风息强化","Wind Boost"
content.item.wind_boost.description,"所有风元素 Token 计分 +1。","All Wind tokens score +1."
content.hero.flux_nomad.name,"通量游民","Flux Nomad"
content.hero.flux_nomad.starting_passive,"异常和狂野事件出现得更频繁。","Anomalies and Wild events appear more often."
content.hero.insight_archivist.name,"洞见档案师","Insight Archivist"
content.hero.insight_archivist.starting_passive,"额外看到一个稳定事件选项。","See one extra stable event option."
content.hero.resolve_specialist.name,"坚毅专员","Resolve Specialist"
content.hero.resolve_specialist.starting_passive,"危机惩罚会被削弱。","Crisis penalties are softened."
content.difficulty.ascension_1.name,"飞升 1","Ascension 1"
content.difficulty.ascension_1.description,"事件池会稍微更严苛。","Slightly harsher event pool."
content.difficulty.ascension_2.name,"飞升 2","Ascension 2"
content.difficulty.ascension_2.description,"危机卡更常出现，安全选项也会变差。","Crisis cards appear more often and safe rolls degrade."
content.difficulty.ascension_3.name,"飞升 3","Ascension 3"
content.difficulty.ascension_3.description,"高压模式，安全选项极少。","High pressure mode with narrow safe options."
content.meta.anomaly_lab.name,"解锁异常实验室","Unlock Anomaly Lab"
content.meta.ascension_track.name,"解锁飞升轨道","Unlock Ascension Track"
content.meta.hero_flux.name,"解锁通量游民","Unlock Flux Nomad"
content.anomaly.bonus_column.name,"奖励列","Bonus Column"
content.anomaly.temporary_6x6.name,"临时 6x6","Temporary 6x6"
content.anomaly.twin_slot_spawn.name,"双格生成","Twin Slot Spawn"
content.event.bulwark_tax.name,"堡垒税","Bulwark Tax"
content.event.bulwark_tax.description,"高强度守备压力会带来更好的合同奖励。","High Guard pressure yields a better contract reward."
content.event.controlled_demolition.name,"定向爆破","Controlled Demolition"
content.event.controlled_demolition.description,"只要附带损失够低，破坏连线就能拿到收益。","Break lines get paid if collateral stays low."
content.event.garden_protocol.name,"花园协议","Garden Protocol"
content.event.garden_protocol.description,"在接下来的几回合里，紧凑的生长布局会得到奖励。","Reward compact Grow setups over the next few turns."
content.event.grow_surge.name,"生长涌动","Grow Surge"
content.event.grow_surge.description,"专注于生长连线，换取稳定的得分爆发。","Lean into Grow lines for a steady score spike."
content.event.guard_watch.name,"守备巡查","Guard Watch"
content.event.guard_watch.description,"只要守备 Token 留在棋盘上，就能获得稳定收益。","Stable payoff for keeping Guard pieces on the board."
content.event.link_resonance.name,"链路共振","Link Resonance"
content.event.link_resonance.description,"连线会获得稳定而干净的收益。","Link lines gain a clean, reliable payoff."
content.event.network_blossom.name,"网络繁盛","Network Blossom"
content.event.network_blossom.description,"只要网络保持整洁，连接与生长都会一起得分。","Link and Grow both score if you keep the network tidy."
content.event.overgrowth_crisis.name,"过度生长危机","Overgrowth Crisis"
content.event.overgrowth_crisis.description,"如果你的生长引擎能快速达成高目标，就能获得巨额收益。","Big payout if your Grow engine can clear a high target quickly."
content.event.relay_gamble.name,"中继豪赌","Relay Gamble"
content.event.relay_gamble.description,"在中继崩塌前，冲一把更高的连线回报。","Push for a bigger link payoff before the relay collapses."
content.event.shatter_drive.name,"碎裂推进","Shatter Drive"
content.event.shatter_drive.description,"按节奏打碎外壳，快速兑现收益。","Break shells on cue for a fast payout."
content.event.spatial_echo.name,"空间回响","Spatial Echo"
content.event.spatial_echo.description,"稀有的空间组件可以换来一次高波动的大收益。","Rare spatial pieces can cash out for a large swing."
content.event.wild_harmonics.name,"狂野谐波","Wild Harmonics"
content.event.wild_harmonics.description,"狂野组件会打出更高峰值，但合同容错会变窄。","Wild pieces spike harder, but the contract margin tightens."
content.zodiac.rat.name,"鼠","Rat"
content.zodiac.ox.name,"牛","Ox"
content.zodiac.tiger.name,"虎","Tiger"
content.zodiac.rabbit.name,"兔","Rabbit"
content.zodiac.dragon.name,"龙","Dragon"
content.zodiac.snake.name,"蛇","Snake"
content.zodiac.horse.name,"马","Horse"
content.zodiac.goat.name,"羊","Goat"
content.zodiac.monkey.name,"猴","Monkey"
content.zodiac.rooster.name,"鸡","Rooster"
content.zodiac.dog.name,"狗","Dog"
content.zodiac.pig.name,"猪","Pig"
ui.run.hud.birth,"出生：{zodiac}","Born: {zodiac}"
ui.run.hud.year,"第 {age} 年 · {rule}","Year {age} · {rule}"
ui.run.hud.age,"年龄 {age} / 寿 {lifespan}","Age {age} / Life {lifespan}"
ui.run.hud.stage,"{stage} · 考核 {income}/{threshold}","{stage} · Review {income}/{threshold}"
ui.run.hud.birth_year,"★ 本命年 ★","★ Birth Year ★"
ui.run.hud.birth_year_quiet,"（非本命年）","(off-year)"
ui.run.button.next_year,"下一年","Next Year"
ui.run.button.restart,"重新开始","Restart"
ui.run.death.natural,"自然死，享年 {age}。重新开始？","Died of age, lived {age}. Restart?"
ui.run.death.title,"已死亡","Deceased"
ui.run.log_title,"年度日志","Yearly Log"
ui.run.ring_legend,"○ 当年奖励格 · ★ 本命年","○ year slot · ★ birth slot"
effect.gain.flat,"+{amount}","+{amount}"
effect.gain.percent,"+{percent}%","+{percent}%"
effect.gain.both,"+{amount} 再 +{percent}%","+{amount} then +{percent}%"
effect.add_self_score,"自身 +{amount}","+{amount} to itself"
effect.modify_neighbor,"{radius} 格内每格 {gain}","{gain} to each slot within {radius}"
effect.trigger_zodiac_chain,"同生肖每格 {gain}","{gain} to every same-zodiac slot"
content.life_stage.childhood.name,"童年","Childhood"
content.life_stage.adolescence.name,"少年","Adolescence"
content.life_stage.youth.name,"青年","Youth"
content.life_stage.prime.name,"壮年","Prime"
content.life_stage.midlife.name,"中年","Midlife"
content.life_stage.senior.name,"老年","Elder"
content.life_stage.twilight.name,"暮年","Twilight"
content.token.diligence.name,"勤勉","Diligence"
content.token.diligence.description,"天未亮就点灯的人。","Lamp lit before dawn."
content.token.close_friend.name,"挚友","Close Friend"
content.token.close_friend.description,"能借钱也能借肩膀的人。","Lends money and a shoulder alike."
content.token.kinsman.name,"同乡","Kinsman"
content.token.kinsman.description,"乡音一起，满座皆亲。","One shared accent and the room turns family."
content.token.benefactor.name,"贵人","Benefactor"
content.token.benefactor.description,"抬手替你挡下一件事。","A hand raised to shield you."
content.token.ancestral_blessing.name,"祖荫","Ancestral Blessing"
content.token.ancestral_blessing.description,"名字被写进族谱那一刻起就欠着的债。","A debt owed since your name entered the register."
content.token.mundane.name,"凡庸","Mundane"
content.token.mundane.description,"大多数日子就是这样过去的。","Most days simply pass like this."
content.starting_pool.default_pool.name,"寻常人家","Ordinary Birth"
content.buff.lucky_star.name,"天生好运","Lucky Star"
content.buff.lucky_star.desc,"打小就比别人多三分侥幸。","Fortune has favored you since birth."
content.buff.noble_help.name,"贵人相助","Noble's Aid"
content.buff.noble_help.desc,"总有人在关键处拉你一把。","Someone always lends a hand when it counts."
content.buff.sturdy_body.name,"身强体健","Sturdy Frame"
content.buff.sturdy_body.desc,"皮实，扛得住折腾。","Tough, hard to wear down."
content.buff.wealthy_family.name,"家境殷实","Wealthy Household"
content.buff.wealthy_family.desc,"起跑线就画在别人前头。","Your starting line sits ahead of others."
content.buff.sickly.name,"体弱多病","Sickly"
content.buff.sickly.desc,"三天两头往药罐子里钻。","Forever reaching for the medicine jar."
content.buff.ill_fortune.name,"时运不济","Ill Fortune"
content.buff.ill_fortune.desc,"偏赶上事的时候都不巧。","Things go wrong at the worst moments."
content.buff.fallen_family.name,"家道中落","Fallen House"
content.buff.fallen_family.desc,"祖上的光景只剩嘴上说说。","The family's glory survives only as talk."
content.buff.reclusive.name,"性情孤僻","Reclusive"
content.buff.reclusive.desc,"跟谁都亲近不起来。","Warms to no one."
ui.stat.str,"力量","Strength"
ui.stat.int,"智力","Intellect"
ui.stat.agi,"敏捷","Agility"
ui.stat.end,"耐力","Endurance"
ui.stat.spr,"精神力","Willpower"
ui.stat.luck,"运气","Luck"
ui.status.attributes,"属性","Attributes"
ui.status.buffs,"机缘","Fortunes"
ui.status.none,"无","None"
ui.run.fx.combo,"{count} 连击！","{count} Combo!"
ui.run.button.deck,"命盘 {board} · 行囊 {bench}","Board {board} · Pack {bench}"
ui.run.death.summary,"享年 {age}。重新开始？","Died at {age}. Start again?"
ui.deck.title,"命盘 {board}/12 · 行囊 {bench}/6 · 道具 {items}","Board {board}/12 · Pack {bench}/6 · Items {items}"
ui.deck.board,"命盘（参与结算）","Board (settles)"
ui.deck.bench,"行囊（材料 / 备选）","Pack (materials / bench)"
ui.deck.items,"道具（场外乘区）","Items (off-board multipliers)"
ui.deck.swap,"对换","Swap"
ui.deck.move,"移动","Move"
ui.deck.close,"关闭","Close"
ui.deck.select_hint,"选一张碎片或道具查看它的属性。","Pick a fragment or item to inspect it."
ui.deck.detail.base_score,"进盘分 {score}","Entry score {score}"
ui.deck.detail.affinity,"生肖共鸣：{zodiac}","Zodiac resonance: {zodiac}"
ui.deck.detail.merge,"合成进度 {have}/{need}","Merge progress {have}/{need}"
ui.deck.detail.ascend,"满星后可传承到下一阶段","Ascends to the next stage at max star"
ui.deck.detail.item_scope,"道具不上盘，每年整局生效，跨阶段不清空。","Items never enter the board; they apply every year and survive stage resets."
ui.draft.title,"三选一","Pick One"
ui.draft.body,"拿一张，或者什么都不要。","Take one, or take nothing."
ui.draft.skip,"都不要","Take nothing"
ui.draft.full,"命盘与行囊都满了——只能跳过","Board and pack are full — skip"
ui.draft.merge_hint,"（已有 {have}/{need}）","(have {have}/{need})"
ui.draft.no_effect,"无联动","No links"
ui.shop.title,"道具","Items"
ui.shop.power,"购买力 {power} 基准（离开时作废）","Power {power} (expires on leaving)"
ui.shop.empty,"这一轮没有可买的道具","Nothing to buy this round"
ui.shop.sold,"已购入","Bought"
ui.shop.close,"离开","Leave"
ui.event.ack,"知道了","Got it"
ui.event.note.spirit,"精神力 {delta}","Spirit {delta}"
ui.event.note.lifespan,"寿命 {delta}","Lifespan {delta}"
ui.event.note.card,"获得一张人生碎片","Gained a fragment"
ui.event.note.item,"获得一件道具","Gained an item"
ui.event.note.discard,"失去 {count} 张人生碎片","Lost {count} fragments"
ui.year.mods.stats,"六维：力{str} 智{int} 敏{agi} 耐{end}","Stats: STR{str} INT{int} AGI{agi} END{end}"
ui.year.mods.items,"道具 {count} 件","{count} items"
ui.year.mods.birth_year,"本命年：同生肖联动翻倍，年收益 ×1.5","Birth year: zodiac links ×2, income ×1.5"
ui.domain.none,"无领域","No domain"
ui.domain.sport,"体育","Sport"
ui.domain.study,"学业","Study"
ui.domain.art,"艺术","Art"
ui.domain.social,"人情","Social"
ui.domain.wealth,"财富","Wealth"
item.effect.settle,"年收益 +{percent}%","Income +{percent}%"
item.effect.self,"自增效果 +{percent}%","Self-gain +{percent}%"
item.effect.zodiac,"同生肖联动 +{percent}%","Zodiac links +{percent}%"
item.effect.neighbor,"邻接联动 +{percent}%","Adjacent links +{percent}%"
item.effect.all_base,"全场每格 +{amount}","+{amount} to every slot"
item.effect.domain,"{domain} 碎片 +{percent}%","{domain} fragments +{percent}%"
item.effect.none,"无乘区","No multiplier"
