id,name,stage_id,domain,rarity,base_score,zodiac_affinity,effects,draft_weight,is_legacy,legacy_into,has_icon,description
collected_works,全集,twilight,study,Rare,28,ox,zod:0/160,1.00,false,legacy_study_1,false,厚厚一摞，压手。
inheritance,遗产,twilight,wealth,Uncommon,23,dragon,self:29,1.00,false,legacy_wealth_1,false,早就写好了。
lifetime_savings,一生积蓄,twilight,wealth,Rare,29,dragon,self:20|zod:0/100,1.00,false,legacy_wealth_1,false,数字后面很多零，花不动了。
mundane,凡庸,,,Common,1,,,0.00,false,,false,无事发生的一格。
legacy_art_1,小有名气,,art,Legendary,14,rabbit,adj:5/75/1,0.00,true,legacy_art_2,false,有人认出你的手笔。
legacy_art_2,名家,,art,Legendary,34,rabbit,adj:12/100/2,0.00,true,legacy_art_3,false,落款本身就值钱。
legacy_art_3,传世之作,,art,Legendary,80,rabbit,adj:28/140/3,0.00,true,,false,它会比你活得久。
legacy_social_1,人脉广布,,social,Legendary,14,goat,adj:6/70/2,0.00,true,legacy_social_2,false,哪儿都有说得上话的人。
legacy_social_2,一呼百应,,social,Legendary,34,goat,adj:14/95/2,0.00,true,legacy_social_3,false,开口就有人接。
legacy_social_3,众望所归,,social,Legendary,80,goat,adj:32/130/3,0.00,true,,false,你不在场，事也办得成。
legacy_sport_1,校队主力,,sport,Legendary,14,tiger,self:16|adj:4/60/1,0.00,true,legacy_sport_2,false,名字印在秩序册上。
legacy_sport_2,职业选手,,sport,Legendary,34,tiger,self:38|adj:10/80/2,0.00,true,legacy_sport_3,false,以此为生了。
legacy_sport_3,一代名将,,sport,Legendary,80,tiger,self:90|adj:24/110/2,0.00,true,,false,后来的人拿你当标尺。
legacy_study_1,学科尖子,,study,Legendary,14,dragon,self:20|adj:3/45/1,0.00,true,legacy_study_2,false,老师开始记你的名字。
legacy_study_2,领域专家,,study,Legendary,34,dragon,self:46|adj:8/70/1,0.00,true,legacy_study_3,false,有人专程来问你。
legacy_study_3,一代宗师,,study,Legendary,80,dragon,self:108|adj:20/95/2,0.00,true,,false,这门学问因你分了前后。
legacy_wealth_1,小有积蓄,,wealth,Legendary,14,rat,self:22,0.00,true,legacy_wealth_2,false,腰不那么弯了。
legacy_wealth_2,一方富商,,wealth,Legendary,34,rat,self:50,0.00,true,legacy_wealth_3,false,账本要人帮着看。
legacy_wealth_3,富甲一方,,wealth,Legendary,80,rat,self:115,0.00,true,,false,钱已经不是问题了。
